crop_year,crop_year_start,month,month_order,price_type,sugar_class,product_type,unit,price,source_period,source_file
2013-2014,2013,April,8,"""A"" Export","""A""",raw_sugar,PHP/LKg,676.25,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,April,8,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1436.25,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,April,8,"""D"" World Market","""D""",raw_sugar,PHP/LKg,748.75,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,April,8,Composite Price,,raw_sugar,PHP/LKg,1305.25,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,April,8,Molasses,,molasses,PHP/MT,5982.25,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,May,9,"""A"" Export","""A""",raw_sugar,PHP/LKg,643.07,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,May,9,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1435.09,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,May,9,"""D"" World Market","""D""",raw_sugar,PHP/LKg,714.95,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,May,9,Composite Price,,raw_sugar,PHP/LKg,1298.28,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,May,9,Molasses,,molasses,PHP/MT,5620.21,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,June,10,"""A"" Export","""A""",raw_sugar,PHP/LKg,647.0,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
2013-2014,2013,June,10,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,1438.2,2010-2015,data\extracted\millsite_prices\2010-2015\table_03_lattice.csv
