crop_year,crop_year_start,month,month_order,price_kind,market_level,product_type,unit,price,source_period,source_file
2011-2012,2011,February,6,monthly_average,wholesale,raw_sugar,PHP/LKg,1422.35,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,February,6,monthly_average,wholesale,refined_sugar,PHP/LKg,1851.85,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,February,6,monthly_average,wholesale,washed_sugar,PHP/LKg,1538.75,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,March,7,monthly_average,retail_wet_market,raw_sugar,PHP/kg,36.5,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,March,7,monthly_average,retail_wet_market,refined_sugar,PHP/kg,43.73,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,March,7,monthly_average,retail_wet_market,washed_sugar,PHP/kg,39.1,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,March,7,monthly_average,wholesale,raw_sugar,PHP/LKg,1518.94,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,March,7,monthly_average,wholesale,refined_sugar,PHP/LKg,1981.01,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,March,7,monthly_average,wholesale,washed_sugar,PHP/LKg,1599.44,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,April,8,monthly_average,retail_wet_market,raw_sugar,PHP/kg,37.37,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,April,8,monthly_average,retail_wet_market,refined_sugar,PHP/kg,45.04,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,April,8,monthly_average,retail_wet_market,washed_sugar,PHP/kg,39.97,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
2011-2012,2011,April,8,monthly_average,wholesale,raw_sugar,PHP/LKg,1621.96,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_04_lattice.csv
