crop_year,crop_year_start,month,month_order,price_type,sugar_class,product_type,unit,raw_value,survey_status,price,include_in_analysis,source_period,source_file
2012-2013,2012,January,5,"""D"" World Market","""D""",raw_sugar,PHP/LKg,"1,120.17",reported,1120.17,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,January,5,Composite Price,,raw_sugar,PHP/LKg,"1,242.64",reported,1242.64,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,January,5,Molasses,,molasses,PHP/MT,"3,544.53",reported,3544.53,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,February,6,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,233.24",reported,1233.24,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,February,6,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,291.03",reported,1291.03,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,February,6,"""D"" World Market","""D""",raw_sugar,PHP/LKg,"1,139.38",reported,1139.38,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,February,6,Composite Price,,raw_sugar,PHP/LKg,"1,256.08",reported,1256.08,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,February,6,Molasses,,molasses,PHP/MT,"4,249.93",reported,4249.93,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,March,7,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,299.74",reported,1299.74,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,March,7,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,394.06",reported,1394.06,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,March,7,"""D"" World Market","""D""",raw_sugar,PHP/LKg,"1,185.46",reported,1185.46,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,March,7,Composite Price,,raw_sugar,PHP/LKg,"1,344.79",reported,1344.79,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,March,7,Molasses,,molasses,PHP/MT,"4,558.48",reported,4558.48,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,April,8,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,281.25",reported,1281.25,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,April,8,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,484.36",reported,1484.36,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,April,8,"""D"" World Market","""D""",raw_sugar,PHP/LKg,"1,163.65",reported,1163.65,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,April,8,Composite Price,,raw_sugar,PHP/LKg,"1,403.97",reported,1403.97,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,April,8,Molasses,,molasses,PHP/MT,"4,834.95",reported,4834.95,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,May,9,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,170.93",reported,1170.93,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,May,9,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,509.55",reported,1509.55,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,May,9,"""D"" World Market","""D""",raw_sugar,PHP/LKg,"1,094.64",reported,1094.64,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,May,9,Composite Price,,raw_sugar,PHP/LKg,"1,399.48",reported,1399.48,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,May,9,Molasses,,molasses,PHP/MT,"5,121.59",reported,5121.59,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,June,10,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,191.95",reported,1191.95,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,June,10,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,676.25",reported,1676.25,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,June,10,"""D"" World Market","""D""",raw_sugar,PHP/LKg,"1,103.24",reported,1103.24,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,June,10,Composite Price,,raw_sugar,PHP/LKg,"1,522.90",reported,1522.9,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,June,10,Molasses,,molasses,PHP/MT,"5,863.83",reported,5863.83,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,July,11,"""A"" Export","""A""",raw_sugar,PHP/LKg,"1,100.00",reported,1100.0,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
2012-2013,2012,July,11,"""B"" Domestic","""B""",raw_sugar,PHP/LKg,"1 ,691.67",reported,1691.67,True,2010-2015,data\extracted\millsite_prices\2010-2015\table_04_lattice.csv
