crop_year,month,month_order,product_type,sugar_class,metric,unit,value,source_period,source_file
2017-2018,February,6,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,164371.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,February,6,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,193320.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2015-2016,February,6,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,288358.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,251786.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,284137.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,212698.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,236687.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2015-2016,March,7,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,219244.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,170032.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,214960.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,295885.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,287449.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2015-2016,April,8,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,167077.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2019-2020,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,253586.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2018-2019,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,184099.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2017-2018,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,256387.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2016-2017,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,192025.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
2015-2016,May,9,raw_sugar,"""B"" Domestic",raw_sugar_domestic_withdrawals,MT,225027.0,2015-2020,data\extracted\raw_domestic_withdrawals\2015-2020\table_01_lattice.csv
