crop_year,month,month_order,price_kind,market_level,product_type,unit,value_position,price,source_period,source_file
2013-2014,August,12,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1793.75,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,August,12,monthly_average,wholesale,washed_sugar,PHP/LKg,2,2033.13,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,August,12,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2280.75,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,August,12,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,44.3,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,August,12,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,47.7,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2013-2014,August,12,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,51.45,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_02_lattice.csv
2012-2013,September,1,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1755.0,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,September,1,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1899.79,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,September,1,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2237.83,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,September,1,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,42.33,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,September,1,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,44.5,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,September,1,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,50.11,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,October,2,monthly_average,wholesale,raw_sugar,PHP/LKg,1,1674.54,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,October,2,monthly_average,wholesale,washed_sugar,PHP/LKg,2,1820.63,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,October,2,monthly_average,wholesale,refined_sugar,PHP/LKg,3,2070.79,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,October,2,monthly_average,retail_wet_market,raw_sugar,PHP/kg,4,42.09,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,October,2,monthly_average,retail_wet_market,washed_sugar,PHP/kg,5,44.63,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
2012-2013,October,2,monthly_average,retail_wet_market,refined_sugar,PHP/kg,6,50.55,2010-2015,data\extracted\metro_manila_prices\2010-2015\table_03_lattice.csv
