crop_year,month,month_order,product_type,metric,unit,value_lkg,value_mt,source_period,source_file
2024-2025,November,3,refined_sugar,refined_sugar_withdrawals,LKg,990556.0,49527.8,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,November,3,refined_sugar,refined_sugar_withdrawals,LKg,674464.0,33723.200000000004,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,November,3,refined_sugar,refined_sugar_withdrawals,LKg,992443.0,49622.15,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,November,3,refined_sugar,refined_sugar_withdrawals,LKg,1239671.0,61983.55,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,November,3,refined_sugar,refined_sugar_withdrawals,LKg,1334382.0,66719.1,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,December,4,refined_sugar,refined_sugar_withdrawals,LKg,1212748.0,60637.4,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,December,4,refined_sugar,refined_sugar_withdrawals,LKg,1109465.0,55473.25,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,December,4,refined_sugar,refined_sugar_withdrawals,LKg,882287.0,44114.350000000006,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,December,4,refined_sugar,refined_sugar_withdrawals,LKg,1270792.0,63539.600000000006,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,December,4,refined_sugar,refined_sugar_withdrawals,LKg,1012473.0,50623.65,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1131351.0,56567.55,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1017046.0,50852.3,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1127713.0,56385.65,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1995082.0,99754.1,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,January,5,refined_sugar,refined_sugar_withdrawals,LKg,1604049.0,80202.45000000001,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,February,6,refined_sugar,refined_sugar_withdrawals,LKg,1119597.0,55979.850000000006,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,February,6,refined_sugar,refined_sugar_withdrawals,LKg,1029578.0,51478.9,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,February,6,refined_sugar,refined_sugar_withdrawals,LKg,902429.0,45121.450000000004,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,February,6,refined_sugar,refined_sugar_withdrawals,LKg,2042604.0,102130.20000000001,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,February,6,refined_sugar,refined_sugar_withdrawals,LKg,1649085.0,82454.25,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,March,7,refined_sugar,refined_sugar_withdrawals,LKg,1235034.0,61751.700000000004,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,March,7,refined_sugar,refined_sugar_withdrawals,LKg,1348478.0,67423.90000000001,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,March,7,refined_sugar,refined_sugar_withdrawals,LKg,934551.0,46727.55,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,March,7,refined_sugar,refined_sugar_withdrawals,LKg,2029113.0,101455.65000000001,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,March,7,refined_sugar,refined_sugar_withdrawals,LKg,1854637.0,92731.85,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,April,8,refined_sugar,refined_sugar_withdrawals,LKg,962074.0,48103.700000000004,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,April,8,refined_sugar,refined_sugar_withdrawals,LKg,1042072.0,52103.600000000006,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,April,8,refined_sugar,refined_sugar_withdrawals,LKg,1296228.0,64811.4,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,April,8,refined_sugar,refined_sugar_withdrawals,LKg,1504863.0,75243.15000000001,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,April,8,refined_sugar,refined_sugar_withdrawals,LKg,1676556.0,83827.8,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,May,9,refined_sugar,refined_sugar_withdrawals,LKg,1134187.0,56709.350000000006,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,May,9,refined_sugar,refined_sugar_withdrawals,LKg,1177536.0,58876.8,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,May,9,refined_sugar,refined_sugar_withdrawals,LKg,692246.0,34612.3,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,May,9,refined_sugar,refined_sugar_withdrawals,LKg,1789624.0,89481.20000000001,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,May,9,refined_sugar,refined_sugar_withdrawals,LKg,1735626.0,86781.3,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,June,10,refined_sugar,refined_sugar_withdrawals,LKg,1316862.0,65843.1,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,June,10,refined_sugar,refined_sugar_withdrawals,LKg,1183388.0,59169.4,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,June,10,refined_sugar,refined_sugar_withdrawals,LKg,634228.0,31711.4,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2021-2022,June,10,refined_sugar,refined_sugar_withdrawals,LKg,1421635.0,71081.75,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2020-2021,June,10,refined_sugar,refined_sugar_withdrawals,LKg,1685414.0,84270.70000000001,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2024-2025,July,11,refined_sugar,refined_sugar_withdrawals,LKg,908576.0,45428.8,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2023-2024,July,11,refined_sugar,refined_sugar_withdrawals,LKg,946709.0,47335.450000000004,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
2022-2023,July,11,refined_sugar,refined_sugar_withdrawals,LKg,592765.0,29638.25,2020-2025,data\extracted\refined_withdrawals\2020-2025\table_01_lattice.csv
